paved_road,unpaved_road,dirt_road,cobblestone_road,asphalt_road,no_speed_bump,speed_bump_asphalt,speed_bump_cobblestone,good_road_left,regular_road_left,bad_road_left,good_road_right,regular_road_right,bad_road_right
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0,1,0,0
